PlayerName,Wingpsan
Aaron Wiggins,81.75
Austin Reaves,78.25
Ayo Dosunmu,82.25
B.J. Boston,82.75
Charles Bassey,87
Corey Kispert,79
David Duke Jr.,80.75
David Johnson,79.25
Davion Mitchell,76.25
Greg Brown III,84.25
Herb Jones,84.25
Isaiah Livers,81.25
Isaiah Todd,85.25
Jaden Springer,79.75
Jalen Johnson,84.25
James Bouknight,80.25
Jared Butler,76
Jason Preston,80.5
Jeremiah Robinson-Earl,81.75
Jericho Sims,87.25
Josh Christopher,81.25
Joshua Primo,81.25
JT Thor,87.25
Kai Jones,85.75
Keon Johnson,82.5
Kessler Edwards,83.25
Luka Garza,85.5
Marcus Zegarowski,74.75
Miles McBride,80.75
Moses Moody,84.75
Nah'Shon Hyland,81.25
Quentin Grimes,80
Raiquan Gray,82.75
Scottie Barnes,86.75
Scottie Lewis,84
Tre Mann,76
Trey Murphy III,84
Ziaire Williams,82.25
