Player Name,Wingpsan,Position,Position Drafted
Aaron Wiggins,81.75,Wing,55
Austin Reaves,78.25,Guard,Free Agent Signing
Ayo Dosunmu,82.25,Wing,38
B.J. Boston,82.75,Wing,51
Charles Bassey,87,Big,53
Corey Kispert,79,Wing,15
David Duke Jr.,80.75,Guard,Free Agent Signing
David Johnson,79.25,Wing,47
Davion Mitchell,76.25,Guard,9
Greg Brown III,84.25,Forward,43
Herb Jones,84.25,Wing,35
Isaiah Livers,81.25,Wing,22
Isaiah Todd,85.25,Forward,31
Jaden Springer,79.75,Guard,28
Jalen Johnson,84.25,Forward,20
James Bouknight,80.25,Wing,11
Jared Butler,76,Guard,40
Jason Preston,80.5,Guard,33
Jeremiah Robinson-Earl,81.75,Big,32
Jericho Sims,87.25,Big,58
Josh Christopher,81.25,Wing,24
Joshua Primo,81.25,Wing,12
JT Thor,87.25,Forward,37
Kai Jones,85.75,Big,19
Keon Johnson,82.5,Guard,21
Kessler Edwards,83.25,Wing,44
Luka Garza,85.5,Big,52
Marcus Zegarowski,74.75,Guard,49
Miles McBride,80.75,Guard,36
Moses Moody,84.75,Wing,14
Nah'Shon Hyland,81.25,Guard,26
Quentin Grimes,80,Wing,25
Raiquan Gray,82.75,Big,59
Scottie Barnes,86.75,Forward,4
Scottie Lewis,84,Wing,56
Tre Mann,76,Guard,18
Trey Murphy III,84,Forward,17
Ziaire Williams,82.25,Wing,10
