PlayerName,Wingpsan
A.Wiggins,81.75
A.Reaves,78.25
A.Dosunmu,82.25
B.Boston,82.75
C.Bassey,87.00
C.Kispert,79.00
D.Duke Jr.,80.75
D.Johnson,79.25
D.Mitchell,76.25
G.Brown III,84.25
H.Jones,84.25
I.Livers,81.25
I.Todd,85.25
J.Springer,79.75
J.Johnson,84.25
J.Bouknight,80.25
J.Butler,76.00
J.Preston,80.50
J.Robinson-Earl,81.75
J.Sims,87.25
J.Christopher,81.25
J.Primo,81.25
J.Thor,87.25
K.Jones,85.75
K.Johnson,82.50
K.Edwards,83.25
L.Garza,85.50
Marcus Zegarowski,74.75
M.McBride,80.75
M.Moody,84.75
N.Hyland,81.25
Q.Grimes,80.00
R.Gray,82.75
S.Barnes,86.75
S.Lewis,84.00
T.Mann,76.00
T.Murphy III,84.00
Z.Williams,82.25
